FID,id,country,latitude,longitude,area_type,sexes,number_males,number_males_deficient,number_females,number_females_deficient,citation,area_size,country_id,malaria_metrics_available
G6PD_Data.1715,1715,United Republic of Tanzania,-5.9385,38.802,Point,Both,25,7,19,2,"Segeja, M. D., B. P. Mmbando, et al. (2008). ""Prevalence of glucose-6-phosphate dehydrogenase deficiency and haemoglobin S in high and moderate malaria transmission areas of Muheza, north-eastern Tanzania."" Tanzan J Health Res 10(1): 9-13.",10,TZA,true
G6PD_Data.1716,1716,United Republic of Tanzania,-5.0294,38.8453,Point,Both,18,3,28,2,"Segeja, M. D., B. P. Mmbando, et al. (2008). ""Prevalence of glucose-6-phosphate dehydrogenase deficiency and haemoglobin S in high and moderate malaria transmission areas of Muheza, north-eastern Tanzania."" Tanzan J Health Res 10(1): 9-13.",10,TZA,true
G6PD_Data.1717,1717,United Republic of Tanzania,-4.7683,39.1708,Point,Both,17,1,39,5,"Segeja, M. D., B. P. Mmbando, et al. (2008). ""Prevalence of glucose-6-phosphate dehydrogenase deficiency and haemoglobin S in high and moderate malaria transmission areas of Muheza, north-eastern Tanzania."" Tanzan J Health Res 10(1): 9-13.",10,TZA,true
G6PD_Data.1718,1718,United Republic of Tanzania,-5.02,38.844,Point,Both,16,2,29,2,"Segeja, M. D., B. P. Mmbando, et al. (2008). ""Prevalence of glucose-6-phosphate dehydrogenase deficiency and haemoglobin S in high and moderate malaria transmission areas of Muheza, north-eastern Tanzania."" Tanzan J Health Res 10(1): 9-13.",10,TZA,true
G6PD_Data.1719,1719,United Republic of Tanzania,-6.819,39.279,Wide area,Male,636,119,,,"Kigoni, E. P., J. M. Kujwalile, et al. (1978). ""Frequency of glucose-6-phosphate dehydrogenase (G-6-PD) deficiency and its relationship to hepatitis B surface antigen (HBS-Ag) in normal Tanzanian males."" East Afr Med J 55(6): 247-251.",20,TZA,true
G6PD_Data.1720,1720,United Republic of Tanzania,-5.1093,38.5397,Point,Both,41,6,43,0,"Enevold, A., L. S. Vestergaard, et al. (2005). ""Rapid screening for glucose-6-phosphate dehydrogenase deficiency and haemoglobin polymorphisms in Africa by a simple high-throughput SSOP-ELISA method."" Malar J 4: 61.",10,TZA,true
G6PD_Data.246,246,Hong Kong Special Administrative Region of China,22.252,114.1921,Admin0 centroid,Male,230,8,,,"Chan, T. K. (1983). Glucose 6 phosphate dehydrogenase (G6PD), University of Hong Kong. MD Thesis.",70,HKG,true
G6PD_Data.98,98,Cook Islands,-19.2114,-158.9782,Admin0 centroid,Both,77,0,39,0,"Nixon, A. D. and J. G. Bucha (1969). ""Survey for erythrocyte glucose-6-phosphate dehydrogenase deficiency in Polynesians."" Am J Hum Genet 21(3): 305-309.",210,COK,true
G6PD_Data.102,102,Côte d'Ivoire,5.331,-4.031,Wide area,Both,39,8,36,15,"Coulibaly, F. H., G. Koffi, et al. (2000). ""Molecular genetics of glucose-6-phosphate dehydrogenase deficiency in a population of newborns from Ivory Coast."" Clin Biochem 33(5): 411-413.",25,CIV,true
G6PD_Data.89,89,China,22.27,114.131,Point,Male,1000,36,,,"Lai, H. C., M. P. Lai, et al. (1968). ""Glucose-6-phosphate dehydrogenase deficiency in Chinese."" J Clin Pathol 21(1): 44-47.",10,CHN,true
G6PD_Data.6,6,Algeria,36.362,6.609,Point,Male,3707,94,,,"Benabadji, M., C. Benlatrache, et al. (1977). ""[Glucose-6-phosphate dehydrogenase deficiency in Algeria.]."" Sem Hop 53(16): 899-904.",10,DZA,true
G6PD_Data.238,238,Greece,35.145,25.109,Admin2 centroid,Male,206,6,,,"Zannos-Mariolea, L. and C. Kattamis (1961). ""Glucose-6-phosphate dehydrogenase deficiency in Greece."" Blood 18: 34-47.",2701,GRC,true
G6PD_Data.7,7,Algeria,24.554,9.484,Point,Male,610,57,,,"Benabadji, M., C. Benlatrache, et al. (1977). ""[Glucose-6-phosphate dehydrogenase deficiency in Algeria.]."" Sem Hop 53(16): 899-904.",10,DZA,true
G6PD_Data.790,790,Philippines,11.533,122.483,Point,,,,,,"Padilla, C. (2011). ""Unpublished data from the Philippines.""",10,PHL,false
G6PD_Data.8,8,Algeria,36.769,3.044,Small polygon,Both,1394,23,1408,17,"Richard, F., M. Belhani, et al. (1974). ""[G-6PD deficiency in newborns in Algiers (author's transl)]."" Nouv Rev Fr Hematol 14(4): 453-459.",52,DZA,true
G6PD_Data.585,585,Italy,39.713,9.228,Point,Male,100,15,,,"Cocco, P., P. Manca, et al. (1987). ""Preliminary results of a geographic correlation study on G6PD deficiency and cancer."" Toxicol Pathol 15(1): 106-108.",10,ITA,true
G6PD_Data.586,586,Italy,39.267,9.166,Point,Male,222,35,,,"Cocco, P., P. Manca, et al. (1987). ""Preliminary results of a geographic correlation study on G6PD deficiency and cancer."" Toxicol Pathol 15(1): 106-108.",10,ITA,true
G6PD_Data.1429,1429,Saudi Arabia,25.417,49.666,Point,Male,104,25,,,"Gelpi, A. P. (1965). ""Glucose-6-Phosphate Dehydrogenase Deficiency in Saudi Arabia: a Survey."" Blood 25: 486-493.",10,SAU,true
G6PD_Data.1723,1723,Uruguay,-31.705,-55.984,Point,Female,,,96,4,"Sans, M., I. Alvarez, et al. (1995). ""Blood Protein Genetic-Markers in a Northeastern Uruguayan Population."" Revista Brasileira De Genetica 18(2): 317-320.",10,URY,true
G6PD_Data.9,9,Algeria,23.823,5.934,Point,Male,116,0,,,"Lefevre-Witier, P. and H. Vergnes (1977). ""Enzyme polymorphisms of Ideles populations (Ahaggar, Algeria) and the Iwellemeden Kel Kummer Twaregs (Menaka, Mali)."" Hum Hered 27(6): 454-469.",10,DZA,true
G6PD_Data.10,10,Angola,-8.908,18.113,Digitised polygon,Both,243,56,157,21,"David, S. and C. Trincao (1963). ""[Drepanocytemia, Erythrocytic Glucose-6-Phosphate Dehydrogenase Deficiency (G-6-Pd) and Malaria in the Cuango Post (Lunda-Angola).]."" An Inst Med Trop (Lisb) 20: 5-15.",1502,AGO,true
G6PD_Data.11,11,Angola,-9.1167,16.0833,Point,Both,53,11,53,4,"Nurse, G. T., T. Jenkins, et al. (1979). ""The Njinga of Angola: a serogenetic study."" Annals of Human Biology 6(4): 337-348.",10,AGO,true
G6PD_Data.12,12,Argentina,-34.594,-58.411,Point,Male,3829,21,,,"Abreu de Miani, M. S. and J. A. Penalver (1983). ""[Incidence of beta-thalassemia carriers and those deficient in erythrocyte glucose-6-phosphate dehydrogenase in the greater Buenos Aires area]."" Sangre (Barc) 28(5): 537-541.",10,ARG,true
G6PD_Data.13,13,Armenia,39.8998,44.8787,Admin2 centroid,Both,2192,19,1805,18,"Idel'son, L. I. and E. R. Kotoian (1970). ""[Incidence of glucose-6-phosphate dehydrogenase deficiency in erythrocytes of the population in Armenia]."" Probl Gematol Pereliv Krovi 15(12): 39-44.",1326,ARM,true
G6PD_Data.14,14,Armenia,40.1023,44.0422,Admin2 centroid,Both,1580,15,1457,16,"Idel'son, L. I. and E. R. Kotoian (1970). ""[Incidence of glucose-6-phosphate dehydrogenase deficiency in erythrocytes of the population in Armenia]."" Probl Gematol Pereliv Krovi 15(12): 39-44.",421,ARM,true
G6PD_Data.15,15,Armenia,40.5635,44.9038,Admin2 centroid,Both,783,1,720,0,"Idel'son, L. I. and E. R. Kotoian (1970). ""[Incidence of glucose-6-phosphate dehydrogenase deficiency in erythrocytes of the population in Armenia]."" Probl Gematol Pereliv Krovi 15(12): 39-44.",392,ARM,true
G6PD_Data.16,16,Armenia,39.1851,46.2983,Admin2 centroid,Both,903,11,1216,13,"Idel'son, L. I. and E. R. Kotoian (1970). ""[Incidence of glucose-6-phosphate dehydrogenase deficiency in erythrocytes of the population in Armenia]."" Probl Gematol Pereliv Krovi 15(12): 39-44.",1469,ARM,true
G6PD_Data.17,17,Australia,-14.878,141.627,Point,Both,43,0,45,0,"Budtz-Olsen, O. and C. Kidson (1961). ""Absence of red cell enzyme deficiency in Australian Aborigines."" Nature 192: 765.",10,AUS,true
G6PD_Data.18,18,Australia,-15.47,142.062,Large polygon,Both,84,0,62,0,"Budtz-Olsen, O. and C. Kidson (1961). ""Absence of red cell enzyme deficiency in Australian Aborigines."" Nature 192: 765.",303,AUS,true
G6PD_Data.19,19,Australia,-12.721,143.285,Point,Male,27,0,,,"Budtz-Olsen, O. and C. Kidson (1961). ""Absence of red cell enzyme deficiency in Australian Aborigines."" Nature 192: 765.",10,AUS,true
G6PD_Data.20,20,Australia,-13.352,141.749,Point,Both,39,0,37,0,"Budtz-Olsen, O. and C. Kidson (1961). ""Absence of red cell enzyme deficiency in Australian Aborigines."" Nature 192: 765.",10,AUS,true
G6PD_Data.21,21,Australia,-12.626,141.876,Point,Both,12,0,29,0,"Budtz-Olsen, O. and C. Kidson (1961). ""Absence of red cell enzyme deficiency in Australian Aborigines."" Nature 192: 765.",10,AUS,true
G6PD_Data.22,22,Australia,-16.633,143.983,Point,Both,12,0,11,0,"Budtz-Olsen, O. and C. Kidson (1961). ""Absence of red cell enzyme deficiency in Australian Aborigines."" Nature 192: 765.",10,AUS,true
G6PD_Data.23,23,Australia,-23.731,133.85,Admin2 centroid,Male,140,0,,,"Budtz-Olsen, O. and C. Kidson (1961). ""Absence of red cell enzyme deficiency in Australian Aborigines."" Nature 192: 765.",273,AUS,true
G6PD_Data.24,24,Australia,-21.175,119.744,Point,Both,11,0,13,0,"Budtz-Olsen, O. and C. Kidson (1961). ""Absence of red cell enzyme deficiency in Australian Aborigines."" Nature 192: 765.",10,AUS,true
G6PD_Data.25,25,Australia,-21.892,120.109,Point,Both,27,0,31,0,"Budtz-Olsen, O. and C. Kidson (1961). ""Absence of red cell enzyme deficiency in Australian Aborigines."" Nature 192: 765.",10,AUS,true
G6PD_Data.26,26,Australia,-33.9194,151.0987,Point,Female,,,487,1,"Harley, J. D., N. S. Agar, et al. (1976). ""Letter: sickle-cell anaemia and trait in Sydney."" The Medical Journal of Australia 1(23): 894.",10,AUS,true
G6PD_Data.159,159,El Salvador,13.701,-89.206,Point,Both,778,19,416,25,"Bloch, M. and H. Rivera (1969). ""[Abnormal hemoglobins and glucose-6-phosphate dehydrogenase deficiency in El Salvador]."" Sangre (Barc) 14(2): 121-124.",10,SLV,true
G6PD_Data.27,27,Azerbaijan,40.567,47.884,Point,Female,,,171,43,"Lysenko, A., R. G. Abrashkin-Zhuchkov, et al. (1973). ""[Incidence of hereditary deficiency of glucose-6-phosphate dehydrogenase activity of erythrocytes in Azerbaijan SSR]."" Probl Gematol Pereliv Krovi 18(11): 16-21.",10,AZE,true
G6PD_Data.577,577,Italy,40.099,9.149,Point,Male,143,5,,,"Cocco, P., P. Manca, et al. (1987). ""Preliminary results of a geographic correlation study on G6PD deficiency and cancer."" Toxicol Pathol 15(1): 106-108.",10,ITA,true
G6PD_Data.28,28,Azerbaijan,40.535,47.799,Point,Female,,,83,8,"Lysenko, A., R. G. Abrashkin-Zhuchkov, et al. (1973). ""[Incidence of hereditary deficiency of glucose-6-phosphate dehydrogenase activity of erythrocytes in Azerbaijan SSR]."" Probl Gematol Pereliv Krovi 18(11): 16-21.",10,AZE,true
G6PD_Data.29,29,Azerbaijan,40.567,47.816,Point,Female,,,155,19,"Lysenko, A., R. G. Abrashkin-Zhuchkov, et al. (1973). ""[Incidence of hereditary deficiency of glucose-6-phosphate dehydrogenase activity of erythrocytes in Azerbaijan SSR]."" Probl Gematol Pereliv Krovi 18(11): 16-21.",10,AZE,true
G6PD_Data.118,118,Cuba,23.134,-82.406,Large polygon,Both,257,11,230,4,"Estrada, M. and R. Gonzalez (1983). ""[Neonatal jaundice and glucose-6-phosphate dehydrogenase deficiency in Havana]."" Rev Invest Clin 35(4): 297-299.",120,CUB,true
G6PD_Data.30,30,Azerbaijan,40.483,47.933,Point,Female,,,203,46,"Lysenko, A., R. G. Abrashkin-Zhuchkov, et al. (1973). ""[Incidence of hereditary deficiency of glucose-6-phosphate dehydrogenase activity of erythrocytes in Azerbaijan SSR]."" Probl Gematol Pereliv Krovi 18(11): 16-21.",10,AZE,true
G6PD_Data.31,31,Azerbaijan,40.6,47.8,Point,Female,,,465,83,"Lysenko, A., R. G. Abrashkin-Zhuchkov, et al. (1973). ""[Incidence of hereditary deficiency of glucose-6-phosphate dehydrogenase activity of erythrocytes in Azerbaijan SSR]."" Probl Gematol Pereliv Krovi 18(11): 16-21.",10,AZE,true
G6PD_Data.32,32,Azerbaijan,40.617,47.816,Point,Female,,,479,93,"Lysenko, A., R. G. Abrashkin-Zhuchkov, et al. (1973). ""[Incidence of hereditary deficiency of glucose-6-phosphate dehydrogenase activity of erythrocytes in Azerbaijan SSR]."" Probl Gematol Pereliv Krovi 18(11): 16-21.",10,AZE,true
G6PD_Data.33,33,Azerbaijan,40.633,47.682,Point,Female,,,125,37,"Lysenko, A., R. G. Abrashkin-Zhuchkov, et al. (1973). ""[Incidence of hereditary deficiency of glucose-6-phosphate dehydrogenase activity of erythrocytes in Azerbaijan SSR]."" Probl Gematol Pereliv Krovi 18(11): 16-21.",10,AZE,true
G6PD_Data.34,34,Azerbaijan,40.551,47.865,Point,Female,,,190,27,"Lysenko, A., R. G. Abrashkin-Zhuchkov, et al. (1973). ""[Incidence of hereditary deficiency of glucose-6-phosphate dehydrogenase activity of erythrocytes in Azerbaijan SSR]."" Probl Gematol Pereliv Krovi 18(11): 16-21.",10,AZE,true
G6PD_Data.35,35,Azerbaijan,38.583,48.832,Multiple points,Male,76,7,,,"Voronov, A. A. and A. A. Krasilnikov (1973). ""[Population study of glucose-6-phosphate deficiency in the Transcaucasus]."" Probl Gematol Pereliv Krovi 18(11): 21-23.",707,AZE,true
G6PD_Data.36,36,Azerbaijan,38.499,48.693,Admin2 centroid,Male,161,12,,,"Voronov, A. A. and A. A. Krasilnikov (1973). ""[Population study of glucose-6-phosphate deficiency in the Transcaucasus]."" Probl Gematol Pereliv Krovi 18(11): 21-23.",488,AZE,true
G6PD_Data.37,37,Azerbaijan,40.3208,47.2076,Admin2 centroid,Male,190,12,,,"Voronov, A. A. and A. A. Krasilnikov (1973). ""[Population study of glucose-6-phosphate deficiency in the Transcaucasus]."" Probl Gematol Pereliv Krovi 18(11): 21-23.",1232,AZE,true
G6PD_Data.38,38,Azerbaijan,41.167,47.316,Point,Both,171,19,188,28,"Krasnopol'skaia, K. D., I. K. Filippov, et al. (1980). ""[Patterns in the distribution of GPD- alleles in Azerbaijan. I. Incidence and polymorphism of glucose-6-phosphate dehydrogenase deficiency in the Shekii region of the Azerbaijan SSR]."" Genetika 16(9): 1685-1692.",10,AZE,true
G6PD_Data.39,39,Azerbaijan,41.35,47.065,Point,Both,60,6,69,11,"Krasnopol'skaia, K. D., I. K. Filippov, et al. (1980). ""[Patterns in the distribution of GPD- alleles in Azerbaijan. I. Incidence and polymorphism of glucose-6-phosphate dehydrogenase deficiency in the Shekii region of the Azerbaijan SSR]."" Genetika 16(9): 1685-1692.",10,AZE,true
G6PD_Data.40,40,Azerbaijan,40.951,47.133,Point,Both,106,13,131,22,"Krasnopol'skaia, K. D., I. K. Filippov, et al. (1980). ""[Patterns in the distribution of GPD- alleles in Azerbaijan. I. Incidence and polymorphism of glucose-6-phosphate dehydrogenase deficiency in the Shekii region of the Azerbaijan SSR]."" Genetika 16(9): 1685-1692.",10,AZE,true
G6PD_Data.41,41,Azerbaijan,41.203,47.175,Point,Both,162,14,52,7,"Krasnopol'skaia, K. D., I. K. Filippov, et al. (1980). ""[Patterns in the distribution of GPD- alleles in Azerbaijan. I. Incidence and polymorphism of glucose-6-phosphate dehydrogenase deficiency in the Shekii region of the Azerbaijan SSR]."" Genetika 16(9): 1685-1692.",10,AZE,true
G6PD_Data.42,42,Azerbaijan,40.4047,49.7131,Point,Both,244,10,225,14,"Krasnopol'skaia, K. D., S. A. Iakovlev, et al. (1985). ""[Patterns of Gd- allele distribution in Azerbaijan. IV. The incidence and polymorphism of erythrocytic glucose-6-phosphate dehydrogenase deficiency in the settlement of Kobi, Apsheron District]."" Genetika 21(3): 487-492.",10,AZE,true
G6PD_Data.43,43,Azerbaijan,40.386,49.82,Small polygon,Both,230,16,198,21,"Askerova, T. A., B. R. Kichibekov, et al. (1992). ""[Hereditary glucose-6-phosphate dehydrogenase deficiency in newborn infants]."" Pediatriia(2): 10-13.",99,AZE,true
G6PD_Data.44,44,Bahrain,26.214,50.582,Wide area,Both,54,20,46,9,"Ardati, K. O., K. M. Bajakian, et al. (1995). ""Glucose-6-Phosphate-Dehydrogenase Phenotypes in Bahrain - Quantitative-Analysis and Electrophoretic Characterization."" Saudi Medical Journal 16(2): 102-104.",15,BHR,true
G6PD_Data.45,45,Bahrain,26.0248,50.5654,Admin0 centroid,Both,792,148,743,81,"Al Arrayed, S. (2005). ""Campaign to control genetic blood diseases in Bahrain."" Community Genet 8(1): 52-55.",610,BHR,true
G6PD_Data.46,46,Botswana,-19.206,23.629,Point,Male,28,0,,,"Jenkins, T., S. R. Blecher, et al. (1968). ""Some hereditary red-cell traits in Kalahari Bushmen and Bantu: hemoglobins, glucose-6-phosphate dehydrogenase deficiency, and blood groups."" Am J Hum Genet 20(4): 299-309.",10,BWA,true
G6PD_Data.47,47,Botswana,-23.677,22.787,Point,Male,49,0,,,"Jenkins, T., S. R. Blecher, et al. (1968). ""Some hereditary red-cell traits in Kalahari Bushmen and Bantu: hemoglobins, glucose-6-phosphate dehydrogenase deficiency, and blood groups."" Am J Hum Genet 20(4): 299-309.",10,BWA,true
G6PD_Data.48,48,Brazil,-12.972,-38.502,Small polygon,Male,369,46,,,"Azevedo, E. S., A. F. Alves, et al. (1980). ""Distribution of abnormal hemoglobins and glucose-6-phosphate dehydrogenase variants in 1200 school children of Bahia, Brazil."" Am J Phys Anthropol 53(4): 509-512.",20,BRA,true
G6PD_Data.236,236,Greece,36.15,27.95,Point,Male,40,14,,,"Kattamis, C. A., A. Chaidas, et al. (1969). ""G6PD deficiency and favism in the island of Rhodes (Greece)."" J Med Genet 6(3): 286-291.",10,GRC,true
G6PD_Data.49,49,Brazil,-21.8925,-49.3328,Admin2 centroid,Both,18,0,20,0,"Barretto, O. C. and K. Nonoyama (1978). ""[Malaria-dependent polymorphism related to erythrocyte glucose-6-phosphate dehydrogenase and glutathione among Brazilian Indians]."" Rev Hosp Clin Fac Med Sao Paulo 33(5): 231-233.",79,BRA,true
G6PD_Data.50,50,Brazil,-22.826,-47.064,Point,Both,370,21,327,4,"Garlipp, C. R. and A. S. Ramalho (1988). ""[Clinical and Laboratory Aspects of Glucose-6-Phosphate-Dehydrogenase (G-6-Pd) Deficiency in Brazilian Newborns]."" Revista Brasileira De Genetica 11(3): 717-728.",10,BRA,true
G6PD_Data.51,51,Brazil,-22.332,-49.079,Small polygon,Male,2657,97,,,"Nicolielo, D. B., R. I. P. Ferreira, et al. (2006). ""Activity of 6-phosphogluconate dehydrogenase in glucose-6-phosphate dehydrogenase deficiency."" Revista Brasileira de Hematologia e Hemoterapia 28(2): 135-138.",45,BRA,true
G6PD_Data.143,143,Egypt,29.202,25.519,Point,Both,153,14,55,0,"Ibrahim, W. N., K. Kamel, et al. (1974). ""Hereditary blood factors and anthropometry of the inhabitants of the Egyptian Siwa Oasis."" Hum Biol 46(1): 57-68.",10,EGY,true
G6PD_Data.52,52,Brazil,-12.995,-38.512,Point,Both,363,12,39,1,"Kuhn, V. L., V. Lisboa, et al. (1983). ""[Glucose-6-phosphate dehydrogenase deficiency in blood donors in a general hospital of Salvador, Bahia, Brazil]."" Rev Paul Med 101(5): 175-177.",10,BRA,true
G6PD_Data.53,53,Brazil,-2.556,-60.026,Point,Male,200,6,,,"Santana, M. S., M. V. de Lacerda, et al. (2009). ""Glucose-6-phosphate dehydrogenase deficiency in an endemic area for malaria in Manaus: a cross-sectional survey in the Brazilian Amazon."" PLoS One 4(4): e5259.",10,BRA,true
G6PD_Data.54,54,Brazil,-20.802,-49.391,Wide area,Both,346,16,198,11,"Ondei, L. S., L. M. Silveira, et al. (2009). ""Lipid peroxidation and antioxidant capacity of G6PD-deficient patients with A-(202G>A) mutation."" Genet Mol Res 8(4): 1345-1351.",20,BRA,true
G6PD_Data.55,55,Brazil,-23.551,-46.708,Point,Both,275,9,501,8,"Barretto, O. C. O. (1970). ""Erythrocyte glucose-6-phosphate dehydrogenase deficiency in Sao Paulo, Brazil."" Rev Bras Pesqui Med Biol 3: 61-65.",10,BRA,true
G6PD_Data.56,56,Brazil,-22.957,-46.538,Point,Male,4621,80,,,"Corrias, L. and L. Melis (1971). ""[Erythrocyte G-6-PD deficiency in blood donors of Oristano]."" Quad Sclavo Diagn 7(2): 595-599.",10,BRA,true
G6PD_Data.57,57,Brazil,-12.891,-38.678,Point,Male,115,6,,,"Azevedo, E. S., K. M. Costa Silva, et al. (1981). ""Genetic and anthropological studies in the island of Itaparica, Bahia, Brazil."" Human Heredity 31(6): 353-357.",10,BRA,true
G6PD_Data.58,58,Brazil,-22.916,-47.081,Small polygon,Male,204,9,,,"Ramalho, A. S. and B. Beiguelman (1977). ""[Glucosephosphate dehydrogenase deficiency (G6-PD) in Brazilian blood donors]."" AMB; Revista da Associação Médica Brasileira 23(8): 259-260.",56,BRA,true
G6PD_Data.59,59,Brazil,-30.039,-51.219,Small polygon,Both,398,23,374,3,"Weimer, T. A., F. M. Salzano, et al. (1981). ""Erythrocyte isozymes and hemoglobin types in a southern Brazilian population."" Journal of Human Evolution 10: 319-328.",70,BRA,true
G6PD_Data.60,60,Brazil,-24.715,-47.571,Point,Both,29,2,59,2,"Itskan, S. B. and P. H. Saldanha (1975). ""[Erythrocyte glucose-6-phosphate dehydrogenase activity in the population of a malarial region in Sao Paulo (Iguape)]."" Rev Inst Med Trop Sao Paulo 17(2): 83-91.",10,BRA,true
G6PD_Data.61,61,Brazil,-12.962,-38.491,Small polygon,Both,301,25,354,41,"Neto, J. P. D., M. V. Dourado, et al. (2008). ""A novel c. 197T -> A variant among Brazilian neonates with glucose-6-phosphate dehydrogenase deficiency."" Genetics and Molecular Biology 31(1): 33-35.",30,BRA,true
G6PD_Data.62,62,Bulgaria,42.708,23.331,Small polygon,Both,1793,49,1420,56,"Tsoneva, M., N. Proinova, et al. (1974). ""[Incidence of glucose-6-phosphate dehydrogenase deficiency in blood donors of Sofia]."" Vutr Boles 13(1): 46-51.",49,BGR,true
G6PD_Data.64,64,Cambodia,11.4033,104.8403,Admin2 centroid,Both,82,11,69,3,"Monchy, D., F. X. Babin, et al. (2004). ""[Frequency of G6PD deficiency in a group of preschool-aged children in a centrally located area of Cambodia]."" Med Trop (Mars) 64(4): 355-358.",218,KHM,true
G6PD_Data.65,65,Cambodia,13.432,102.376,Point,Both,61,9,45,5,"Matsuoka, H., C. Nguon, et al. (2005). ""Glucose-6-phosphate dehydrogenase (G6PD) mutations in Cambodia: G6PD Viangchan (871G>A) is the most common variant in the Cambodian population."" J Hum Genet 50(9): 468-472.",10,KHM,true
G6PD_Data.66,66,Cambodia,12.9829,103.0981,Point,Both,23,2,8,2,"Matsuoka, H., C. Nguon, et al. (2005). ""Glucose-6-phosphate dehydrogenase (G6PD) mutations in Cambodia: G6PD Viangchan (871G>A) is the most common variant in the Cambodian population."" J Hum Genet 50(9): 468-472.",10,KHM,true
G6PD_Data.67,67,Cambodia,10.786,104.216,Point,Both,15,1,12,1,"Matsuoka, H., C. Nguon, et al. (2005). ""Glucose-6-phosphate dehydrogenase (G6PD) mutations in Cambodia: G6PD Viangchan (871G>A) is the most common variant in the Cambodian population."" J Hum Genet 50(9): 468-472.",10,KHM,true
G6PD_Data.68,68,Cambodia,13.807,107.094,Point,Both,10,0,12,0,"Matsuoka, H., C. Nguon, et al. (2005). ""Glucose-6-phosphate dehydrogenase (G6PD) mutations in Cambodia: G6PD Viangchan (871G>A) is the most common variant in the Cambodian population."" J Hum Genet 50(9): 468-472.",10,KHM,true
G6PD_Data.69,69,Cambodia,13.568,107.26,Point,Both,20,0,10,1,"Matsuoka, H., C. Nguon, et al. (2005). ""Glucose-6-phosphate dehydrogenase (G6PD) mutations in Cambodia: G6PD Viangchan (871G>A) is the most common variant in the Cambodian population."" J Hum Genet 50(9): 468-472.",10,KHM,true
G6PD_Data.70,70,Cambodia,13.612,107.314,Point,Both,32,1,31,0,"Matsuoka, H., C. Nguon, et al. (2005). ""Glucose-6-phosphate dehydrogenase (G6PD) mutations in Cambodia: G6PD Viangchan (871G>A) is the most common variant in the Cambodian population."" J Hum Genet 50(9): 468-472.",10,KHM,true
